First,Japanese,English
銀行 1568,馬鹿 ,Idiot
馬鹿 1555,裁判 ,trial 
裁判 1553,降り ,Falling off
降り 1552,大学 ,University
大学 1548,州 ,State
州 1533,今回 ,this time 
今回 1533,空 ,Sky 
空 1525,経験 ,experience 
経験 1524,本物 ,Real thing
本物 1521,部 ,Department
部 1519,化 ,Change
化 1515,未来 ,Future
未来 1506,正直 ,Honesty 
正直 1505,年間 ,Year
年間 1503,無駄 ,waste 
無駄 1497,現れ ,Appearance
現れ 1494,島 ,Island
島 1493,病気 ,disease 
病気 1483,内 ,Inside
内 1465,風 ,Wind 
風 1458,結構 ,fine 
結構 1456,治療 ,Treatment
治療 1452,予定 ,schedule 
予定 1450,点 ,Point
点 1448,人 ,Man 
1人 1448,許可 ,permission 
許可 1443,勇気 ,courage 
勇気 1441,最悪 ,worst 
最悪 1440,本気 ,Seriousness
本気 1439,全然 ,not at all 
全然 1436,任務 ,mission 
任務 1430,日本 ,Japan 
日本 1429,作戦 ,Strategy
作戦 1428,成功 ,Success
成功 1425,進 ,Proceeding
進 1422,近づ ,Close
近づ 1418,品 ,Item
品 1409,消 ,Extinguishing
消 1408,小さな ,small 
小さな 1403,科学 ,Science
科学 1401,放 ,Relief
放 1400,向こう ,Across
向こう 1393,事実 ,fact 
事実 1390,食 ,Food
食 1389,関 ,Relation
関 1364,戦い ,Fight 
戦い 1361,少年 ,Boy
少年 1353,爆発 ,explosion 
爆発 1351,現実 ,reality 
現実 1350,保護 ,Protection
保護 1349,地下 ,Underground
地下 1348,隊 ,Squad
隊 1343,地 ,Land
地 1342,別れ ,farewell 
別れ 1342,時代 ,Era
時代 1330,使え ,Useful
使え 1323,組織 ,Organization
組織 1322,式 ,Ceremony
式 1322,落ち着け ,Calmness
落ち着け 1315,動物 ,Animal
動物 1312,無し ,none 
無し 1312,下が ,Below
下が 1311,技術 ,Technology
技術 1308,個人 ,Individual
個人 1302,期待 ,Expectation
期待 1301,調子 ,condition 
調子 1298,線 ,Line
線 1298,局 ,Bureau
局 1295,利用 ,use 
利用 1294,主人 ,Master
主人 1291,館 ,Mansion
館 1290,毎日 ,every day 
毎日 1281,付 ,Attached
付 1278,当然 ,Of course 
当然 1277,患者 ,Patient
患者 1273,全 ,All
全 1262,今朝 ,this morning 
今朝 1262,過ご ,Passing
過ご 1262,馬 ,Horse 
馬 1260,あー ,ah 
あー 1258,あたし ,I
あたし 1243,立て ,stand up 
立て 1223,地獄 ,Hell
地獄 1223,： ,:
： 1222,合 ,Agency
合 1221,続 ,Continuation
続 1219,陛下 ,His Majesty
陛下 1217,小さ ,small 
小さ 1210,火 ,Fire
火 1208,平気 ,Calm
平気 1199,世話 ,care 
世話 1199,能力 ,Ability
能力 1192,理子 ,Riko
理子 1191,検査 ,inspection 
検査 1187,アレックス ,Alex 
アレックス 1185,木 ,wood 
木 1185,号 ,Issue
号 1179,山 ,Mountain 
山 1177,解 ,Solution
解 1176,警部 ,Police officer
警部 1171,食事 ,meal 
食事 1170,幸運 ,Good luck
幸運 1169,構 ,Lingering
構 1168,侵入 ,Invasion
侵入 1165,駄目 ,Useless
駄目 1165,緊急 ,Urgent
緊急 1165,親父 ,Father
親父 1164,気付 ,Notice
気付 1153,主 ,main 
主 1152,速 ,Speed
速 1148,代わり ,Substitute
代わり 1145,休 ,Rest
休 1141,原因 ,Cause
原因 1138,警告 ,caveat 
警告 1135,山里 ,Mountain village
山里 1133,特に ,especially 
特に 1127,部下 ,subordinate 
部下 1124,運命 ,destiny 
運命 1117,到着 ,arrival 
到着 1113,自殺 ,Suicide
自殺 1113,屋 ,Shop
屋 1110,現在 ,the current 
現在 1109,一部 ,Partially
一部 1108,行為 ,action 
行為 1106,遺体 ,Body
遺体 1106,大切 ,important 
大切 1106,関わ ,Involved
関わ 1104,常 ,Always
常 1102,感情 ,Emotion
感情 1095,夕食 ,dinner 
夕食 1094,星 ,Star 
星 1090,達也 ,Tatsuya
達也 1089,手紙 ,letter 
手紙 1087,混乱 ,Confusion
混乱 1082,支配 ,Rule
支配 1081,影響 ,Impact
影響 1079,受け入れ ,accept 
受け入れ 1078,知れ ,Acquaintance
知れ 1077,行方 ,Whereabouts
行方 1077,少女 ,Girl
少女 1073,位 ,Position
位 1072,半分 ,half 
半分 1072,誕生 ,Birth
誕生 1071,超 ,Hyper 
超 1071,施設 ,facility 
施設 1070,殺せ ,Kill
殺せ 1068,向け ,for 
向け 1067,機会 ,opportunity 
機会 1066,人類 ,Human race 
人類 1066,正確 ,correct 
正確 1053,色々 ,various 
色々 1049,活動 ,Activity
活動 1049,料理 ,cooking 
料理 1045,要求 ,Demand
要求 1044,再 ,Re -
再 1040,指示 ,Instructions
指示 1040,部隊 ,Troops
部隊 1038,何者 ,Who
何者 1037,音楽 ,music 
音楽 1036,上げ ,Raising
上げ 1035,管理 ,Management
管理 1034,映像 ,picture 
映像 1032,開始 ,Start
開始 1031,議員 ,Parliamentarians
議員 1030,反対 ,Opposition 
反対 1026,勝手 ,selfishness 
勝手 1024,器 ,Vessel
器 1024,反応 ,reaction 
反応 1020,可愛 ,cute 
可愛 1019,権利 ,right 
権利 1018,女王 ,Queen
女王 1018,師 ,Teacher
師 1011,大好き ,really like 
大好き 1009,面倒 ,troublesome 
面倒 1008,出発 ,departure 
出発 1005,引 ,Pulling out
引 1002,保安 ,Security
保安 999,上が ,Above
上が 992,決ま ,Decision
決ま 990,楽しみ ,fun 
楽しみ 988,行き ,Going out
行き 985,将軍 ,General
将軍 985,担当 ,in charge 
担当 984,事態 ,Situation
事態 983,一杯 ,a cup of 
一杯 974,近 ,Close
近 974,発 ,Departure
発 974,取り戻 ,Reconciliation
取り戻 972,偉大 ,Greatness
偉大 971,結局 ,in the end 
結局 965,ロシア ,Russia
ロシア 965,司令 ,Command
司令 963,平和 ,peace 
平和 963,解放 ,Liberation
解放 962,直 ,Direct
直 962,事務 ,Administrative office
事務 961,瞬間 ,Moment
瞬間 959,教授 ,Professor 
教授 956,示 ,Indication
示 954,教会 ,Church
教会 954,優し ,Kind
優し 954,位置 ,Position
位置 952,以来 ,Since
以来 946,突然 ,Suddenly
突然 945,付き合 ,Association
付き合 943,集中 ,concentration 
集中 943,通信 ,communication 
通信 943,あっち ,There
あっち 939,契約 ,contract 
契約 937,異常 ,Abnormality
異常 931,殺し ,Killing
殺し 931,部分 ,part 
部分 931,様子 ,state 
様子 923,沢山 ,Lot 
沢山 922,住所 ,address 
住所 921,参加 ,Participation
参加 921,旅 ,Journey 
旅 920,社 ,Shrine
社 916,重 ,Heavy
重 915,自然 ,Nature 
自然 913,殺害 ,Murder
殺害 911,園 ,Garden
園 908,速人 ,Fastjin
速人 907,途中 ,in the middle 
途中 906,証言 ,Testimony
証言 906,夏美 ,Summer beauty
夏美 898,取れ ,Gain
取れ 896,前回 ,last time 
前回 896,手術 ,Surgery
手術 895,強盗 ,Robbery
強盗 892,種 ,Species
種 890,魔女 ,witch 
魔女 887,信号 ,Signal
信号 887,専門 ,Specialty
専門 886,閣下 ,Your Honor 
閣下 883,会議 ,meeting 
会議 883,美月 ,Beautiful moon
美月 883,提供 ,Providing
提供 882,離 ,Separation
離 881,荷物 ,luggage 
荷物 880,安心 ,peace of mind 
安心 880,基地 ,Base
基地 874,目撃 ,Witness
目撃 873,動き ,Movement
動き 871,指 ,Finger
指 867,〜 ,~
〜 865,時々 ,sometimes 
時々 864,怪物 ,Monster
怪物 863,会話 ,conversation 
会話 859,受け取 ,Receipt
受け取 858,一致 ,Agreement
一致 855,全体 ,whole 
全体 854,徳井 ,Tokoi
徳井 849,アンタ ,You
アンタ 848,親 ,Parent
親 846,天使 ,Angel
天使 843,勝利 ,Victory
勝利 842,主義 ,Principle
主義 841,旅行 ,trip 
旅行 837,死亡 ,Death
死亡 836,夫人 ,Mrs 
夫人 836,目標 ,the goal 
目標 835,個 ,Individual 
個 835,中国 ,China
中国 834,生徒 ,student 
生徒 833,建物 ,building 
建物 833,確信 ,conviction 
確信 832,出会 ,Meeting
出会 831,使用 ,Use
使用 831,台 ,Stand
台 830,社会 ,Society
社会 829,周り ,Surroundings
周り 829,市民 ,Citizen
市民 828,色 ,color 
色 821,停止 ,Stop 
停止 820,曲 ,song 
曲 816,実験 ,experiment 
実験 815,直接 ,Direct
直接 815,川 ,River
川 812,ありがと ,thank you 
ありがと 811,実行 ,execution 
実行 810,半 ,Half
半 809,乗せ ,Boarding
乗せ 808,後悔 ,Regret
後悔 806,案内 ,guidance 
案内 805,禁止 ,Ban 
禁止 802,距離 ,Distance
距離 791,次第 ,depend on 
次第 791,感染 ,Infection
感染 787,制御 ,control 
制御 787,有名 ,famous 
有名 786,戦闘 ,battle 
戦闘 783,以内 ,Within
以内 779,書類 ,document 
書類 779,偶然 ,Accidentally
偶然 777,機械 ,Machine
機械 777,最終 ,Final 
最終 776,無視 ,ignore 
無視 774,』 ,]
』 772,王子 ,Prince
王子 772,呼吸 ,Breathing
呼吸 772,巨人 ,Giant 
巨人 771,軍隊 ,army 
軍隊 770,支援 ,support 
支援 769,大人 ,adult 
大人 768,同意 ,Consent
同意 768,恋人 ,lover 
恋人 767,知り合い ,Acquaintance
知り合い 766,努力 ,effort 
努力 765,白 ,White 
白 764,足り ,Suffering
足り 762,進め ,Advancement
進め 761,惑星 ,planet 
惑星 758,味方 ,Ally
味方 757,回復 ,recovery 
回復 753,新聞 ,Newspaper
新聞 753,『 ,""""" """
『 750,話し ,Speech
話し 748,アパート ,Apartment
アパート 745,組 ,Set
組 744,アア ,Ah
アア 744,生き残 ,Survival
生き残 741,一生 ,lifetime 
一生 741,処理 ,process 
処理 740,兵器 ,Weapon
兵器 740,方向 ,Direction
方向 739,決定 ,Decision
決定 739,当た ,Afterwards
当た 739,アクセス ,access 
アクセス 737,満足 ,satisfaction 
満足 735,クレア ,Claire
クレア 735,神経 ,Nerve
神経 734,症 ,Illness
症 733,親友 ,Close friend 
親友 732,流 ,Style
流 729,分析 ,Analysis
分析 728,不思議 ,wonder 
不思議 726,限 ,Limit
限 723,半田 ,Solder
半田 723,物語 ,story 
物語 723,ア ,a 
ア 721,練習 ,practice 
練習 721,久し ,A long time
久し 720,他人 ,Others
他人 720,両方 ,both 
両方 720,南 ,South
南 720,成長 ,Growth
成長 718,～ ,~
～ 717,再び ,again 
再び 716,医 ,Doctor
医 715,指揮 ,Command
指揮 715,最大 ,Maximum
最大 714,病 ,Illness
病 714,記事 ,article 
記事 712,時計 ,clock 
時計 712,アラン ,Alan
アラン 712,手段 ,Means
手段 710,高校 ,high school 
高校 705,太陽 ,Sun 
太陽 704,具合 ,Condition
具合 704,青 ,Blue
青 703,向 ,Direction
向 703,才能 ,Talent
才能 701,交換 ,exchange 
交換 700,所有 ,Ownership
所有 699,最低 ,Lowest
最低 696,救急 ,Emergency
救急 696,魅力 ,charm 
魅力 693,楽 ,easy 
楽 693,応答 ,Response
応答 693,最 ,Best
最 693,修理 ,repair 
修理 690,勉強 ,study 
勉強 689,提案 ,suggestion 
提案 689,資金 ,Funds
資金 689,社長 ,president 
社長 688,ありさ ,Existence
ありさ 688,試合 ,game 
試合 688,気の毒 ,Sorry
気の毒 688,金持ち ,Rich man 
金持ち 687,安定 ,Stability
安定 687,指紋 ,Fingerprint
指紋 687,流れ ,Flow
流れ 686,経 ,Sutra
経 686,団 ,Group
団 685,代 ,Substitute
代 681,日間 ,Day
日間 681,午後 ,afternoon 
午後 679,政治 ,Politics
政治 678,正体 ,Identity
正体 677,確保 ,Securing
確保 677,機能 ,function 
機能 675,優秀 ,excellence 
優秀 675,動か ,move 
動か 672,発生 ,occurrence 
発生 671,英雄 ,hero 
英雄 670,立場 ,Position
立場 670,電気 ,electricity 
電気 669,帽子 ,Hat
帽子 669,効果 ,effect 
効果 668,アンナ ,Anna
アンナ 668,条件 ,Condition
条件 667,確実 ,certainty 
確実 666,連邦 ,Federation
連邦 665,規則 ,Rule
規則 665,土地 ,Land
土地 665,直ぐ ,Immediately
直ぐ 664,卒業 ,graduation 
卒業 664,手がかり ,Clue
手がかり 663,自己 ,Selfishness
自己 663,列車 ,Train
列車 662,加減 ,Degree
加減 659,暴力 ,Violence
暴力 659,立派 ,Splendid
立派 658,石 ,Stone
石 658,同様 ,Same
同様 655,不安 ,anxiety 
不安 655,身体 ,Body
身体 654,ライアン ,Ryan
ライアン 653,無線 ,Wireless
無線 650,対処 ,handle 
対処 650,権 ,Right
権 648,起動 ,boot 
起動 647,誤解 ,Misunderstanding
誤解 647,治 ,Cure
治 647,雄基 ,Male group
雄基 647,接触 ,Contact
接触 646,名誉 ,Honor
名誉 646,説得 ,Persuasion
説得 643,特定 ,identification 
特定 642,標的 ,Target
標的 642,正義 ,Justice
正義 638,見張 ,Insight
見張 638,導 ,Guidance
導 637,無実 ,Innocence
無実 636,アイツ ,Guys
アイツ 636,興奮 ,Excitement
興奮 635,承知 ,Understood 
承知 634,納得 ,Consent 
納得 633,光栄 ,Honor 
光栄 633,本部 ,Headquarters
本部 632,変更 ,change 
変更 632,大佐 ,Colonel 
大佐 632,空気 ,air 
空気 630,支払 ,Payment
支払 630,あらゆる ,every 
あらゆる 629,表 ,table 
表 627,片付け ,Cleaning up
片付け 627,アダム ,Adam
アダム 626,地図 ,map 
地図 625,法律 ,Law
法律 625,医療 ,medical care 
医療 625,台無し ,ruin 
台無し 622,非 ,Unlucky
非 621,貴様 ,You
貴様 621,形 ,shape 
形 621,評価 ,evaluation 
評価 621,都市 ,City 
都市 620,出身 ,Birthplace 
出身 617,釈放 ,Release
釈放 616,大した ,Great
大した 616,保証 ,guarantee 
保証 616,予想 ,prediction 
予想 615,省 ,Ministry
省 615,疑問 ,Question
疑問 615,同僚 ,colleague 
同僚 614,変化 ,change 
変化 612,交渉 ,negotiation 
交渉 612,合わせ ,Match
合わせ 612,生命 ,Life
生命 610,村 ,village 
村 609,作業 ,Work
作業 609,将来 ,future 
将来 608,面 ,Face
面 607,悠里子 ,Yuriko
悠里子 607,空港 ,airport 
空港 607,指輪 ,ring 
指輪 606,巨大 ,Huge
巨大 606,西 ,West 
西 605,手配 ,Arrangement
手配 605,工場 ,factory 
工場 603,城 ,Castle
城 602,取り ,take 
取り 602,話し合 ,Discussion
話し合 602,東 ,East
東 601,あるいは ,or 
あるいは 600,目覚め ,Awakening
目覚め 600,金庫 ,Safe
金庫 599,間違え ,Mistake
間違え 599,馬場 ,Baba 
馬場 598,内部 ,Internal
内部 594,艦隊 ,Fleet
艦隊 593,食料 ,Food
食料 592,あり ,can be 
あり 592,保険 ,insurance 
保険 589,得意 ,good at 
得意 588,医師 ,Doctor
医師 587,英語 ,English 
英語 584,離婚 ,Divorce
離婚 584,子ども ,Child 
子ども 584,違反 ,Violation
違反 583,公 ,Public
公 582,維持 ,Maintaining
維持 581,男の子 ,boy 
男の子 581,政子 ,Government
政子 579,味 ,taste 
味 577,口座 ,Account
口座 576,大勢 ,large crowd 
大勢 576,鉄 ,iron 
鉄 576,親切 ,Kindness
親切 575,仕業 ,Work
仕業 575,贈り物 ,gift 
贈り物 574,待機 ,stand-by 
待機 571,戦士 ,Warrior
戦士 571,知らせ ,News
知らせ 570,尋問 ,Interrogation
尋問 568,発射 ,Launch
発射 567,食べ物 ,food 
食べ物 567,系 ,System
系 565,駅 ,station 
駅 564,開発 ,development 
開発 563,事情 ,Situation
事情 562,育て ,Raising
育て 562,上司 ,boss 
上司 562,国家 ,Nation
国家 562,大使 ,Ambassador
大使 561,機関 ,institution 
機関 560,生物 ,Creature
生物 560,超え ,Beyond
超え 560,天才 ,Genius
天才 557,量 ,Quantity
量 557,横 ,beside 
横 556,観 ,View
観 556,入り ,enter 
入り 556,正気 ,Insane
正気 555,人質 ,Hostage
人質 555,有罪 ,Guilty
有罪 555,約 ,about 
約 555,中止 ,cancel 
中止 554,発表 ,announcement 
発表 554,現金 ,Cash
現金 554,始末 ,Cleaning up
始末 553,撮影 ,photograph 
撮影 553,衛星 ,Satellite
衛星 553,都合 ,convenience 
都合 552,関連 ,connection 
関連 552,間に合 ,In time
間に合 551,小屋 ,Hut
小屋 551,公園 ,Park
公園 551,単純 ,Simple
単純 551,王国 ,Kingdom
王国 549,存知 ,Knowing
存知 546,加え ,In addition
加え 545,道路 ,Road
道路 543,育 ,Raising
育 543,神父 ,Priest
神父 542,慎重 ,Caution
慎重 542,生存 ,Survival
生存 540,注文 ,order 
注文 539,物質 ,Substance
物質 539,関心 ,interest 
関心 539,時期 ,Time
時期 539,駐車 ,Parking 
駐車 538,乗れ ,Riding
乗れ 536,遺伝 ,Hereditary
遺伝 535,返事 ,reply 
返事 533,エイリアン ,Alien
エイリアン 533,化学 ,Chemistry
化学 533,数え ,Counting
